name,type,variable,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,continent,region
Albania,country,Irrigation water requirement [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,Europe,Southern Europe
Albania,country,Irrigation water withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5176,0.522088889,0.526577778,0.531066667,0.535555556,0.540044444,0.544533333,0.549022222,0.553511111,0.558,0.559,0.609,0.566,0.61,0.545,0.564,0.565,Europe,Southern Europe
Albania,country,Municipal water withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.14504,0.19008,0.23512,0.28016,0.3252,0.37024,0.41528,0.46032,0.50536,0.5504,0.55258,0.55476,0.55694,0.55912,0.5613,0.53317,0.50504,0.47691,0.44878,0.42065,0.39252,0.36439,0.33626,0.30813,0.28,0.27,0.283,0.207,0.238,0.225,0.222,0.221,Europe,Southern Europe
Albania,country,SDG 6.4.2. Agricultural Sector Contribution to Water Stress [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.009615385,5.612980769,5.216346154,4.819711539,4.423076923,4.026442308,4.495192308,4.963942308,5.432692308,5.901442308,6.370192308,5.826923077,5.283653846,4.740384615,4.197115385,3.653846154,3.110576923,3.192307692,3.274038462,3.355769231,3.4375,3.519230769,3.600961539,3.682692308,3.764423077,3.846153846,4.611095815,4.19687434,3.924278846,4.158653846,3.275240385,3.389423077,3.395432692,Europe,Southern Europe
Albania,country,SDG 6.4.2. Industrial Sector Contribution to Water Stress [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.600961539,0.677524039,0.754086539,0.830649039,0.907211539,0.983774039,1.060336539,1.136899039,1.213461539,1.290024039,1.366586539,1.371875,1.377163462,1.382451923,1.387740385,1.393028846,1.33203125,1.271033654,1.210036058,1.149038462,1.088040865,1.027043269,0.966045673,0.905048077,0.844050481,0.783052885,0.868374862,0.660452328,0.588942308,1.207932692,0.096153846,0.060096154,0.066105769,Europe,Southern Europe
Albania,country,SDG 6.4.2. Municipal Sector Contribution to Water Stress [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.600961539,0.871634615,1.142307692,1.412980769,1.683653846,1.954326923,2.225,2.495673077,2.766346154,3.037019231,3.307692308,3.320793269,3.333894231,3.346995192,3.360096154,3.373197115,3.204146635,3.035096154,2.866045673,2.696995192,2.527944712,2.358894231,2.18984375,2.020793269,1.851742789,1.682692308,1.951404185,1.699163717,1.243990385,1.430288462,1.352163462,1.334134615,1.328125,Europe,Southern Europe
Albania,country,SDG 6.4.2. Water Stress [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.211538462,7.162139423,7.112740385,7.063341346,7.013942308,6.964543269,7.780528846,8.596514423,9.4125,10.22848558,11.04447115,10.51959135,9.994711539,9.469831731,8.944951923,8.420072115,7.646754808,7.4984375,7.350120192,7.201802885,7.053485577,6.905168269,6.756850962,6.608533654,6.460216346,5.528846154,6.5625,6.556490385,5.757211539,6.796875,4.723557692,4.783653846,4.789663462,Europe,Southern Europe
Albania,country,Total freshwater withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.19178,1.18356,1.17534,1.16712,1.1589,1.29468,1.43046,1.56624,1.70202,1.8378,1.75046,1.66312,1.57578,1.48844,1.4011,1.27242,1.24774,1.22306,1.19838,1.1737,1.14902,1.12434,1.09966,1.07498,0.92,1.092,1.091,0.958,1.131,0.786,0.796,0.797,Europe,Southern Europe
Albania,country,Total water withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.19178,1.18356,1.17534,1.16712,1.1589,1.29468,1.43046,1.56624,1.70202,1.8378,1.75046,1.66312,1.57578,1.48844,1.4011,1.27242,1.24774,1.22306,1.19838,1.1737,1.14902,1.12434,1.09966,1.07498,0.92,0.908,1.092,0.958,1.131,0.786,0.796,0.797,Europe,Southern Europe
Albania,country,Total water withdrawal per capita [m3/inhab/year],,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.0806732,363.0595485,360.5665314,358.5731392,356.9818408,355.6471296,398.893544,442.9134955,487.9050183,533.7836884,580.4529668,556.0647064,530.6544926,505.3673918,480.3500355,455.4706047,417.0762575,412.7643541,408.6497178,404.6559169,400.7550051,394.6482643,386.3706029,378.2054655,370.204174,317.3911004,313.3339108,376.7801309,331.0032959,392.0263708,273.6812637,279.33402,281.8636812,Europe,Southern Europe
